,parrains,annees,montants
0,Jerry LEWIS,1987,29650000
1,Mireille MATHIEU,1988,28490000
2,Alain DELON,1989,40930000
3,Claudia CARDINALE,1990,46510000
4,"Jerry LEWIS, Mireille MATHIEU et Ornella MUTTI",1991,38650000
5,Barbara HENDRICKS,1992,47870000
6,Michel SARDOU,1993,55600000
7,Pierre PERRET,1994,57520000
8,Serge LAMA,1995,56763000
9,Thierry LHERMITTE,1996,56872000
10,Robert HOSSEIN,1997,63043286
11,Michel BOUJENAH ,1998,70449000
12,Pierre PERRET ,1999,71417798
13,Patrick SEBASTIEN ,2000,79640119
14,Jane BIRKIN ,2001,81188013
15,Axelle RED ,2002,91546548
16,Sandrine KIBERLAIN,2003,97657833
17,Gérard JUGNOT ,2004,104678697
18,Yannick NOAH ,2005,104078464
19,Gérard JUGNOT et Thierry LHERMITTE,2006,106696532
20,Kad MERAD et Liane FOLY ,2007,102315233
21,Julien CLERC ,2008,104911383
22,Daniel AUTEUIL ,2009,95200117
23,Anne ROUMANNOFF ,2010,90450486
24,Gad ELMALEH ,2011,94091902
25,Franck DUBOSC ,2012,88156400
26,Patrick Bruel,2013,89327268
27,Garou,2014,92920108
28,Marc Lavoine,2015,93850778
29,Garou,2016,92740769
30,Zazie,2017,89189384
31,Pascal Obispo,2018,85844117
32,Jean-Paul Rouve,2019,87026262
33,Matt Pokora,2020,77298024
34,Soprano,2021,85933166
